n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
10,0,145,10,3,3,49,10,0.0244291,0.731168,1.49066e-05
10,0,191,10,2,2,68,10,0.0280497,0.731168,1.81163e-05
10,0,151,10,2,2,60,10,0.0249311,0.731168,1.81163e-05
10,0,139,10,3,3,23,10,0.0239166,0.731168,1.49066e-05
10,0,103,10,1,1,44,10,0.0205491,0.501023,2.60005e-05
10,0,123,10,2,2,78,10,0.0224932,0.501693,1.81163e-05
10,0,177,10,4,4,97,10,0.026999,0.731168,1.29547e-05
10,0,163,10,5,5,112,10,0.025906,0.731168,1.15674e-05
10,0,169,10,3,3,110,10,0.02638,0.731168,1.49066e-05
10,0,197,10,6,6,15,10,0.0284881,0.731168,1.07717e-05
10,0,143,10,1,1,39,10,0.0242595,0.731168,2.60005e-05
10,0,115,10,5,5,60,10,0.0217177,0.501023,1.15674e-05
10,0,173,10,3,3,64,10,0.0266913,0.731168,1.49066e-05
10,0,237,10,1,1,102,10,0.0312547,0.731168,2.60005e-05
10,0,145,10,2,2,71,10,0.0244291,0.731168,1.81163e-05
10,0,109,10,2,2,50,10,0.0211415,0.501023,1.81163e-05
10,0,105,10,5,5,24,10,0.0207484,0.501023,1.15674e-05
10,0,181,10,8,8,24,10,0.0273033,0.731168,9.39533e-06
10,0,181,10,7,7,55,10,0.0273033,0.731168,9.88127e-06
10,0,187,10,4,4,52,10,0.0277535,0.731168,1.29547e-05
10,0,241,10,6,6,14,10,0.0315181,0.731168,1.07717e-05
10,0,179,10,2,2,128,10,0.0271516,0.731168,1.81163e-05
10,0,131,10,2,2,62,10,0.0232158,0.731168,1.81163e-05
10,0,147,10,6,6,15,10,0.0245976,0.731168,1.07717e-05
10,0,165,10,1,1,147,10,0.0260649,0.731168,2.60005e-05
10,0,195,10,5,5,175,10,0.0283427,0.731168,1.15674e-05
10,0,121,10,1,1,13,10,0.0222792,0.501023,2.60005e-05
10,0,91,10,2,2,23,10,0.0193102,0.501023,1.81163e-05
10,0,139,10,2,3,44,10,0.0239166,0.731168,1.49066e-05
10,0,233,10,7,7,95,10,0.0309892,0.731168,9.88127e-06
11,0,259,11,6,6,56,11,0.0342759,1.21866,1.43808e-05
11,0,165,11,1,1,40,11,0.0273411,0.84382,3.45769e-05
