n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
10,0,133,10,0,0,0,0,0.023393,0.731168,0.000247296
10,0,97,8,0,0,0,0,0.0199392,0.501023,0.000247296
10,0,83,7,0,0,0,0,0.0184382,0.501023,0.000247296
10,0,145,10,0,0,0,0,0.0244291,0.731168,0.000247296
10,0,147,10,0,0,0,0,0.0245976,0.731168,0.000247296
10,0,111,9,0,0,0,0,0.0213353,0.501023,0.000247296
10,0,107,10,0,0,0,0,0.0209459,0.501023,0.000247296
10,0,99,10,0,0,0,0,0.0201446,0.501023,0.000247296
10,0,137,10,0,0,0,0,0.0237434,0.731168,0.000247296
10,0,111,9,0,0,0,0,0.0213353,0.501023,0.000247296
10,0,115,10,0,0,0,0,0.0217177,0.501023,0.000247296
10,0,157,10,0,0,0,0,0.0254232,0.731168,0.000247296
10,0,151,10,0,0,0,0,0.0249311,0.731168,0.000247296
10,0,139,10,0,0,0,0,0.0239166,0.731168,0.000247296
10,0,181,9,0,0,0,0,0.0273033,0.731168,0.000247296
10,0,189,10,0,0,0,0,0.027902,0.731168,0.000247296
10,0,115,10,0,0,0,0,0.0217177,0.501023,0.000247296
10,0,153,10,0,0,0,0,0.0250962,0.731168,0.000247296
10,0,95,8,0,0,0,0,0.0197318,0.501023,0.000247296
10,0,171,9,0,0,0,0,0.0265361,0.731168,0.000247296
10,0,159,10,0,0,0,0,0.0255851,0.731168,0.000247296
10,0,101,10,0,0,0,0,0.0203478,0.501023,0.000247296
10,0,219,9,0,0,0,0,0.0300412,0.731168,0.000247296
10,0,121,8,0,0,0,0,0.0222792,0.501023,0.000247296
10,0,121,9,0,0,0,0,0.0222792,0.501023,0.000247296
10,0,125,10,0,0,0,0,0.022676,0.501693,0.000247296
10,0,179,10,0,0,0,0,0.0271516,0.731168,0.000247296
10,0,145,10,0,0,0,0,0.0244291,0.731168,0.000247296
10,0,85,9,0,0,0,0,0.01866,0.501023,0.000247296
10,0,89,8,0,0,0,0,0.0190959,0.501023,0.000247296
11,0,183,11,0,0,0,0,0.0287982,0.84382,0.000349729
11,0,155,11,0,0,0,0,0.0264971,0.84382,0.000349729
11,0,169,10,0,0,0,0,0.0276715,0.84382,0.000349729
11,0,149,11,0,0,0,0,0.0259776,0.84382,0.000349729
11,0,153,9,0,0,0,0,0.0263251,0.84382,0.000349729
11,0,107,10,0,0,0,0,0.0219722,0.57826,0.000349729
11,0,151,11,0,0,0,0,0.0261519,0.84382,0.000349729
11,0,199,11,0,0,0,0,0.0300343,0.84382,0.000349729
11,0,159,11,0,0,0,0,0.0268379,0.84382,0.000349729
11,0,121,11,0,0,0,0,0.0234018,0.579033,0.000349729
11,0,179,10,0,0,0,0,0.0284809,0.84382,0.000349729
11,0,221,11,0,0,0,0,0.0316555,0.84382,0.000349729
11,0,183,10,0,0,0,0,0.0287982,0.84382,0.000349729
11,0,171,10,0,0,0,0,0.0278353,0.84382,0.000349729
11,0,163,9,0,0,0,0,0.0271744,0.84382,0.000349729
11,0,193,10,0,0,0,0,0.0295768,0.84382,0.000349729
11,0,107,11,0,0,0,0,0.0219722,0.57826,0.000349729
11,0,121,11,0,0,0,0,0.0234018,0.579033,0.000349729
11,0,79,11,0,0,0,0,0.0188683,0.57826,0.000349729
11,0,145,11,0,0,0,0,0.0256255,0.84382,0.000349729
11,0,189,10,0,0,0,0,0.0292679,0.84382,0.000349729
11,0,123,11,0,0,0,0,0.0235951,0.579033,0.000349729
11,0,173,11,0,0,0,0,0.0279981,0.84382,0.000349729
11,0,247,11,0,0,0,0,0.0334705,0.84382,0.000349729
11,0,149,11,0,0,0,0,0.0259776,0.84382,0.000349729
11,0,159,11,0,0,0,0,0.0268379,0.84382,0.000349729
11,0,193,11,0,0,0,0,0.0295768,0.84382,0.000349729
11,0,127,11,0,0,0,0,0.023977,0.579033,0.000349729
11,0,181,11,0,0,0,0,0.02864,0.84382,0.000349729
11,0,203,11,0,0,0,0,0.0303355,0.84382,0.000349729
12,0,243,12,0,0,0,0,0.0346776,0.961745,0.000494592
12,0,185,10,0,0,0,0,0.0302468,0.961745,0.000494592
12,0,277,12,0,0,0,0,0.0370298,1.38889,0.000494592
12,0,215,12,0,0,0,0,0.0326136,0.961745,0.000494592
12,0,191,12,0,0,0,0,0.0307347,0.961745,0.000494592
12,0,367,12,0,0,0,0,0.0426925,1.39074,0.000494592
12,0,135,9,0,0,0,0,0.0258261,0.961745,0.000494592
12,0,211,12,0,0,0,0,0.032308,0.961745,0.000494592
12,0,219,12,0,0,0,0,0.0329164,0.961745,0.000494592
12,0,285,12,0,0,0,0,0.0375619,1.38889,0.000494592
12,0,161,10,0,0,0,0,0.0282112,0.961745,0.000494592
12,0,109,12,0,0,0,0,0.023198,0.659999,0.000494592
12,0,459,12,0,0,0,0,0.0477546,1.39074,0.000494592
12,0,161,12,0,0,0,0,0.0282112,0.961745,0.000494592
12,0,485,12,0,0,0,0,0.0490909,1.39074,0.000494592
12,0,257,11,0,0,0,0,0.0356649,1.38889,0.000494592
12,0,163,11,0,0,0,0,0.0283864,0.961745,0.000494592
12,0,229,11,0,0,0,0,0.0336614,0.961745,0.000494592
12,0,297,12,0,0,0,0,0.0383463,1.38889,0.000494592
12,0,157,12,0,0,0,0,0.0278575,0.961745,0.000494592
12,0,307,12,0,0,0,0,0.0389879,1.38889,0.000494592
12,0,293,12,0,0,0,0,0.0380866,1.38889,0.000494592
12,0,201,11,0,0,0,0,0.0315312,0.961745,0.000494592
12,0,169,10,0,0,0,0,0.0289056,0.961745,0.000494592
12,0,237,12,0,0,0,0,0.0342457,0.961745,0.000494592
12,0,333,12,0,0,0,0,0.0406087,1.38889,0.000494592
12,0,201,10,0,0,0,0,0.0315312,0.961745,0.000494592
12,0,227,12,0,0,0,0,0.0335137,0.961745,0.000494592
12,0,135,12,0,0,0,0,0.0258261,0.961745,0.000494592
12,0,361,12,0,0,0,0,0.0423414,1.39074,0.000494592
13,0,273,12,0,0,0,0,0.0382653,1.56639,0.000699459
13,0,229,12,0,0,0,0,0.0350393,1.08472,0.000699459
13,0,415,12,0,0,0,0,0.0472614,1.56849,0.000699459
13,0,159,12,0,0,0,0,0.029183,1.08472,0.000699459
13,0,431,12,0,0,0,0,0.0481654,1.56849,0.000699459
13,0,177,11,0,0,0,0,0.0307952,1.08472,0.000699459
13,0,321,13,0,0,0,0,0.0415556,1.56849,0.000699459
13,0,183,11,0,0,0,0,0.0313142,1.08472,0.000699459
13,0,221,12,0,0,0,0,0.0344203,1.08472,0.000699459
13,0,409,13,0,0,0,0,0.0469179,1.56849,0.000699459
13,0,205,12,0,0,0,0,0.0331479,1.08472,0.000699459
13,0,323,13,0,0,0,0,0.0416851,1.56849,0.000699459
13,0,393,13,0,0,0,0,0.0459893,1.56849,0.000699459
13,0,177,10,0,0,0,0,0.0307952,1.08472,0.000699459
13,0,219,12,0,0,0,0,0.0342638,1.08472,0.000699459
13,0,253,13,0,0,0,0,0.0368339,1.08472,0.000699459
13,0,329,12,0,0,0,0,0.0420713,1.56849,0.000699459
13,0,361,13,0,0,0,0,0.0440738,1.56849,0.000699459
13,0,125,8,0,0,0,0,0.0258661,0.744434,0.000699459
13,0,159,12,0,0,0,0,0.029183,1.08472,0.000699459
13,0,221,13,0,0,0,0,0.0344203,1.08472,0.000699459
13,0,353,12,0,0,0,0,0.0435818,1.56849,0.000699459
13,0,231,12,0,0,0,0,0.0351923,1.08472,0.000699459
13,0,321,12,0,0,0,0,0.0415556,1.56849,0.000699459
13,0,363,11,0,0,0,0,0.0441959,1.56849,0.000699459
13,0,313,11,0,0,0,0,0.0409787,1.56639,0.000699459
13,0,237,12,0,0,0,0,0.0356475,1.08472,0.000699459
13,0,373,11,0,0,0,0,0.0448017,1.56849,0.000699459
13,0,149,10,0,0,0,0,0.0282478,1.08472,0.000699459
13,0,329,13,0,0,0,0,0.0420713,1.56849,0.000699459
14,0,507,13,0,0,0,0,0.0542223,1.75323,0.000989184
14,0,505,14,0,0,0,0,0.054115,1.75323,0.000989184
14,0,455,14,0,0,0,0,0.051362,1.75323,0.000989184
14,0,497,13,0,0,0,0,0.053684,1.75323,0.000989184
14,0,199,14,0,0,0,0,0.0338939,1.21254,0.000989184
14,0,559,13,0,0,0,0,0.0569392,2.51608,0.000989184
14,0,563,14,0,0,0,0,0.0571429,2.51608,0.000989184
14,0,267,12,0,0,0,0,0.0392732,1.75089,0.000989184
14,0,571,14,0,0,0,0,0.057548,2.51608,0.000989184
14,0,405,14,0,0,0,0,0.048453,1.75323,0.000989184
14,0,541,14,0,0,0,0,0.0560136,2.51608,0.000989184
14,0,315,12,0,0,0,0,0.0427217,1.75323,0.000989184
14,0,171,10,0,0,0,0,0.031413,1.21254,0.000989184
14,0,219,14,0,0,0,0,0.0355604,1.21254,0.000989184
14,0,343,14,0,0,0,0,0.0445836,1.75323,0.000989184
14,0,207,11,0,0,0,0,0.0345701,1.21254,0.000989184
14,0,327,13,0,0,0,0,0.0435294,1.75323,0.000989184
14,0,281,13,0,0,0,0,0.0402918,1.75089,0.000989184
14,0,397,14,0,0,0,0,0.0479713,1.75323,0.000989184
14,0,543,12,0,0,0,0,0.0561172,2.51608,0.000989184
