n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
10,0,145,10,0,0,0,0,0.0244291,0.731168,0.000247296
10,0,121,10,0,0,0,0,0.0222792,0.501023,0.000247296
10,0,97,10,0,0,0,0,0.0199392,0.501023,0.000247296
10,0,153,9,0,0,0,0,0.0250962,0.731168,0.000247296
10,0,95,10,0,0,0,0,0.0197318,0.501023,0.000247296
10,0,111,10,0,0,0,0,0.0213353,0.501023,0.000247296
10,0,139,10,0,0,0,0,0.0239166,0.731168,0.000247296
10,0,201,10,0,0,0,0,0.0287767,0.731168,0.000247296
10,0,83,8,0,0,0,0,0.0184382,0.501023,0.000247296
10,0,97,9,0,0,0,0,0.0199392,0.501023,0.000247296
10,0,157,10,0,0,0,0,0.0254232,0.731168,0.000247296
10,0,105,10,0,0,0,0,0.0207484,0.501023,0.000247296
10,0,103,8,0,0,0,0,0.0205491,0.501023,0.000247296
10,0,115,9,0,0,0,0,0.0217177,0.501023,0.000247296
10,0,131,10,0,0,0,0,0.0232158,0.731168,0.000247296
10,0,133,9,0,0,0,0,0.023393,0.731168,0.000247296
10,0,155,10,0,0,0,0,0.0252602,0.731168,0.000247296
10,0,171,10,0,0,0,0,0.0265361,0.731168,0.000247296
10,0,105,8,0,0,0,0,0.0207484,0.501023,0.000247296
10,0,65,8,0,0,0,0,0.0163077,0.501023,0.000247296
10,0,159,10,0,0,0,0,0.0255851,0.731168,0.000247296
10,0,133,9,0,0,0,0,0.023393,0.731168,0.000247296
10,0,147,10,0,0,0,0,0.0245976,0.731168,0.000247296
10,0,73,9,0,0,0,0,0.0172869,0.501023,0.000247296
10,0,121,9,0,0,0,0,0.0222792,0.501023,0.000247296
15,0,385,13,0,0,0,0,0.0489004,1.94472,0.00151549
15,0,785,14,0,0,0,0,0.069862,2.7908,0.00151549
15,0,431,14,0,0,0,0,0.0517442,1.94472,0.00151549
15,0,445,14,0,0,0,0,0.0525792,1.94472,0.00151549
15,0,527,14,0,0,0,0,0.0572263,2.7908,0.00151549
15,0,487,14,0,0,0,0,0.0550084,1.94472,0.00151549
15,0,403,13,0,0,0,0,0.0500324,1.94472,0.00151549
15,0,367,13,0,0,0,0,0.0477416,1.94472,0.00151549
15,0,497,15,0,0,0,0,0.0555712,1.94472,0.00151549
15,0,317,15,0,0,0,0,0.0443645,1.94472,0.00151549
15,0,281,15,0,0,0,0,0.0417646,1.94472,0.00151549
15,0,503,14,0,0,0,0,0.0559061,1.94472,0.00151549
15,0,937,15,0,0,0,0,0.0764363,2.79452,0.00151549
15,0,521,13,0,0,0,0,0.0568991,2.7908,0.00151549
15,0,441,14,0,0,0,0,0.052342,1.94472,0.00151549
15,0,411,13,0,0,0,0,0.0505274,1.94472,0.00151549
15,0,889,15,0,0,0,0,0.0743514,2.7908,0.00151549
15,0,407,14,0,0,0,0,0.0502805,1.94472,0.00151549
15,0,543,14,0,0,0,0,0.0580898,2.7908,0.00151549
15,0,447,14,0,0,0,0,0.0526974,1.94472,0.00151549
15,0,517,14,0,0,0,0,0.05668,2.7908,0.00151549
15,0,497,15,0,0,0,0,0.0555712,1.94472,0.00151549
15,0,463,13,0,0,0,0,0.0536338,1.94472,0.00151549
15,0,547,15,0,0,0,0,0.0583037,2.7908,0.00151549
15,0,423,14,0,0,0,0,0.0512609,1.94472,0.00151549
20,0,2453,20,0,0,0,0,0.146115,8.95964,0.00923238
20,0,1463,20,0,0,0,0,0.112674,6.28143,0.00923238
20,0,993,17,0,0,0,0,0.0928124,4.3964,0.00923238
20,0,1109,18,0,0,0,0,0.0980887,6.28143,0.00923238
20,0,2367,18,0,0,0,0,0.143529,8.95964,0.00923238
20,0,1131,20,0,0,0,0,0.0990577,6.28143,0.00923238
20,0,1489,17,0,0,0,0,0.113672,6.28143,0.00923238
20,0,1169,18,0,0,0,0,0.100709,6.28143,0.00923238
20,0,1557,20,0,0,0,0,0.116241,6.28143,0.00923238
20,0,1261,19,0,0,0,0,0.104601,6.28143,0.00923238
20,0,965,17,0,0,0,0,0.0914932,4.3964,0.00923238
20,0,1929,19,0,0,0,0,0.129393,6.28143,0.00923238
20,0,879,17,0,0,0,0,0.0873172,4.3964,0.00923238
20,0,1577,20,0,0,0,0,0.116985,6.28143,0.00923238
20,0,2169,19,0,0,0,0,0.137212,8.94798,0.00923238
20,0,563,17,0,0,0,0,0.0697727,4.39067,0.00923238
20,0,1209,20,0,0,0,0,0.102419,6.28143,0.00923238
20,0,891,18,0,0,0,0,0.0879118,4.3964,0.00923238
20,0,1911,20,0,0,0,0,0.128788,6.28143,0.00923238
20,0,2179,17,0,0,0,0,0.137528,8.94798,0.00923238
20,0,2097,19,0,0,0,0,0.134914,8.94798,0.00923238
20,0,1477,20,0,0,0,0,0.113213,6.28143,0.00923238
20,0,1765,18,0,0,0,0,0.123767,6.28143,0.00923238
20,0,2291,19,0,0,0,0,0.141205,8.95964,0.00923238
20,0,2411,20,0,0,0,0,0.144858,8.95964,0.00923238
25,0,6085,24,0,0,0,0,0.257361,17.8026,0.0522263
25,0,8159,24,0,0,0,0,0.298412,17.8258,0.0522263
25,0,5469,24,0,0,0,0,0.243983,17.8026,0.0522263
25,0,14579,23,0,0,0,0,0.398928,25.3012,0.0522263
25,0,2917,23,0,0,0,0,0.178162,12.5242,0.0522263
25,0,3067,25,0,0,0,0,0.182688,12.5242,0.0522263
25,0,5999,23,0,0,0,0,0.255536,17.8026,0.0522263
25,0,11757,24,0,0,0,0,0.358235,25.3012,0.0522263
25,0,7385,25,0,0,0,0,0.283901,17.8258,0.0522263
25,0,9225,22,0,0,0,0,0.317314,25.3012,0.0522263
25,0,14777,24,0,0,0,0,0.401628,25.3012,0.0522263
25,0,6699,25,0,0,0,0,0.27039,17.8258,0.0522263
25,0,6265,24,0,0,0,0,0.261481,17.8258,0.0522263
25,0,8811,25,0,0,0,0,0.31011,25.3012,0.0522263
25,0,7821,25,0,0,0,0,0.292164,17.8258,0.0522263
25,0,9005,25,0,0,0,0,0.313506,25.3012,0.0522263
25,0,1961,23,0,0,0,0,0.146063,8.7925,0.0522263
25,0,3989,21,0,0,0,0,0.208358,12.5242,0.0522263
25,0,7535,25,0,0,0,0,0.286771,17.8258,0.0522263
25,0,6699,23,0,0,0,0,0.27039,17.8258,0.0522263
25,0,5063,22,0,0,0,0,0.234748,17.8026,0.0522263
25,0,8003,25,0,0,0,0,0.295545,17.8258,0.0522263
25,0,5209,23,0,0,0,0,0.23811,17.8026,0.0522263
25,0,3387,23,0,0,0,0,0.191986,12.5242,0.0522263
