n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,677,10,3,3,77,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,124.22161529271375
10,1,0,667,10,1,1,315,10,14015.866092878863,4417.280990281723,140158.66092878862,404755.68001296,216.67124862880527
10,2,0,619,10,1,1,281,10,13501.309938131017,4254.594544313636,135013.09938131017,404755.68001296,216.67124862880527
10,3,0,709,10,1,1,94,10,14451.10490534885,4554.891483683649,144511.0490534885,404755.68001296,216.67124862880527
10,4,0,567,10,1,1,244,10,12920.811543573447,4071.0621493613644,129208.11543573448,404755.68001296,216.67124862880527
10,5,0,631,10,2,2,56,10,13631.766924792879,4295.840716247901,136317.66924792877,404755.68001296,150.9692952005997
10,6,0,597,10,2,2,311,10,13258.8111884267,4177.924898136188,132588.111884267,404755.68001296,150.9692952005997
10,7,0,645,10,1,1,305,10,13782.408734121973,4343.468846435985,137824.08734121974,404755.68001296,216.67124862880527
10,8,0,621,10,2,2,343,10,13523.14001775392,4261.496480724226,135231.4001775392,404755.68001296,150.9692952005997
10,9,0,499,10,2,2,364,10,12119.89729120456,3817.848163850419,121198.97291204559,281985.22061076347,150.9692952005997
10,10,0,477,10,1,1,42,10,11849.215621657586,3732.2722314090493,118492.15621657585,281985.22061076347,216.67124862880527
10,11,0,593,10,1,1,300,10,13214.243228447796,4163.834124274279,132142.43228447795,404755.68001296,216.67124862880527
10,12,0,663,10,1,1,524,10,13973.708935240964,4403.952140814748,139737.08935240965,404755.68001296,216.67124862880527
10,13,0,541,10,5,5,11,10,12620.571736736536,3976.138629940099,126205.71736736536,404755.68001296,96.39500722500266
10,14,0,485,10,1,1,350,10,11948.353477321998,3763.61452529536,119483.53477321999,281985.22061076347,216.67124862880527
10,15,0,561,10,1,1,172,10,12852.146874566166,4049.3531108492966,128521.46874566167,404755.68001296,216.67124862880527
10,16,0,535,10,1,1,121,10,12550.267515968499,3953.911459674422,125502.675159685,404755.68001296,216.67124862880527
10,17,0,683,10,2,2,170,10,14183.243761019376,4470.201012088049,141832.43761019377,404755.68001296,150.9692952005997
10,18,0,677,10,3,3,126,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,124.22161529271375
10,19,0,677,10,2,2,142,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,150.9692952005997
11,0,0,835,11,1,1,184,11,16451.274899911507,4944.904581165113,180964.02389902656,467060.8670949125,288.1409568328545
11,1,0,811,11,1,1,643,11,16212.799716944006,4873.01223793442,178340.79688638408,467060.8670949125,288.1409568328545
