n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,831,10,1,1,299,10,15646.960675346163,4932.994946725467,156469.60675346164,404755.68001296,216.67124862880527
10,1,0,839,10,1,1,448,10,15722.204599456758,4956.785732654999,157222.04599456757,404755.68001296,216.67124862880527
10,2,0,779,10,1,1,258,10,15148.781884136451,4775.480562559361,151487.81884136453,404755.68001296,216.67124862880527
10,3,0,795,10,2,2,624,10,15303.792429061243,4824.491698975028,153037.92429061243,404755.68001296,150.9692952005997
10,4,0,793,10,3,3,224,10,15284.501954452413,4818.392440593443,152845.01954452414,404755.68001296,124.22161529271375
10,5,0,751,10,2,2,56,10,14873.63265467416,4688.484437001709,148736.3265467416,404755.68001296,150.9692952005997
10,6,0,785,10,1,1,740,10,15207.095724377625,4793.918177906847,152070.95724377624,404755.68001296,216.67124862880527
10,7,0,829,10,3,3,214,10,15628.093172329223,4927.0293841725725,156280.93172329222,404755.68001296,124.22161529271375
10,8,0,743,10,1,1,648,10,14794.080148816263,4663.331781780218,147940.80148816263,404755.68001296,216.67124862880527
10,9,0,793,10,1,1,783,10,15284.501954452413,4818.392440593443,152845.01954452414,404755.68001296,216.67124862880527
10,10,0,803,10,1,1,211,10,15380.712749703838,4848.812373523605,153807.1274970384,404755.68001296,216.67124862880527
10,11,0,855,10,1,1,519,10,15871.623886788655,5004.029540944245,158716.23886788654,404755.68001296,216.67124862880527
10,12,0,825,10,2,2,182,10,15590.289766509833,4915.076638589052,155902.89766509834,404755.68001296,150.9692952005997
10,13,0,821,10,1,1,136,10,15552.394607427175,4903.094890781745,155523.94607427175,404755.68001296,216.67124862880527
10,14,0,833,10,2,2,343,10,15665.805488145352,4938.953337120861,156658.0548814535,404755.68001296,150.9692952005997
10,15,0,791,10,1,1,707,10,15265.18713934389,4812.285488576536,152651.8713934389,404755.68001296,216.67124862880527
10,16,0,803,10,1,1,269,10,15380.712749703838,4848.812373523605,153807.1274970384,404755.68001296,216.67124862880527
10,17,0,819,10,2,2,649,10,15533.412410935454,4897.093074850262,155334.12410935454,404755.68001296,150.9692952005997
10,18,0,859,10,1,1,46,10,15908.759747698992,5015.771280889723,159087.59747698993,404755.68001296,216.67124862880527
10,19,0,793,10,1,1,38,10,15284.501954452413,4818.392440593443,152845.01954452414,404755.68001296,216.67124862880527
11,0,0,1167,11,1,1,412,11,19452.862438265012,5849.805736764714,213981.48682091513,667488.0860602041,288.1409568328545
11,1,0,1331,11,1,1,747,11,20776.348901988356,6248.812964453552,228539.83792187192,667488.0860602041,288.1409568328545
11,2,0,1301,11,1,1,749,11,20540.614430839356,6177.742918726796,225946.7587392329,667488.0860602041,288.1409568328545
11,3,0,1305,11,3,3,249,11,20572.201592403697,6187.265916990475,226294.21751644067,667488.0860602041,163.57640052388575
11,4,0,1225,11,3,3,60,11,19930.96013831084,5993.942948696985,219240.5615214192,667488.0860602041,163.57640052388575
11,5,0,1291,11,1,1,282,11,20461.433432033675,6153.8711905914115,225075.76775237042,667488.0860602041,288.1409568328545
11,6,0,1225,11,1,1,994,11,19930.96013831084,5993.942948696985,219240.5615214192,667488.0860602041,288.1409568328545
11,7,0,1199,11,1,1,957,11,19718.072389472705,5929.7613211450225,216898.79628419975,667488.0860602041,288.1409568328545
11,8,0,1255,11,1,1,566,11,20173.811666392197,6067.158254497301,221911.92833031417,667488.0860602041,288.1409568328545
11,9,0,1171,11,2,2,269,11,19486.210847334245,5859.859613943677,214348.3193206767,667488.0860602041,202.2898526451104
11,10,0,1285,11,1,1,331,11,20413.777578036497,6139.503767282316,224551.55335840146,667488.0860602041,288.1409568328545
11,11,0,1249,11,4,4,49,11,20125.475531176857,6052.585777637583,221380.23084294543,667488.0860602041,144.34056196408565
11,12,0,1343,11,1,1,1087,11,20869.89796225529,6277.01650060272,229568.8775848082,667488.0860602041,288.1409568328545
11,13,0,1335,11,4,4,157,11,20807.578602577672,6258.228214026352,228883.3646283544,667488.0860602041,144.34056196408565
11,14,0,1287,11,5,5,116,11,20429.675200567195,6144.29662733723,224726.42720623914,667488.0860602041,129.139409642573
11,15,0,1311,11,1,1,546,11,20619.491707374644,6201.523096842271,226814.40878112108,667488.0860602041,288.1409568328545
11,16,0,1201,11,2,2,403,11,19734.52980947171,5934.722916879967,217079.82790418883,667488.0860602041,202.2898526451104
11,17,0,1255,11,2,2,512,11,20173.811666392197,6067.158254497301,221911.92833031417,667488.0860602041,202.2898526451104
11,18,0,1291,11,2,2,892,11,20461.433432033675,6153.8711905914115,225075.76775237042,667488.0860602041,202.2898526451104
11,19,0,1249,11,5,5,358,11,20125.475531176857,6052.585777637583,221380.23084294543,667488.0860602041,129.139409642573
12,0,0,1953,12,1,1,1615,12,26292.075746264785,7573.9852761336915,315504.9089551774,760658.4642350338,391.3658604966136
12,1,0,2013,12,1,1,1793,12,26693.23877604003,7689.783902047717,320318.86531248037,760658.4642350338,391.3658604966136
12,2,0,1967,12,1,1,1842,12,26386.225512811943,7601.162271382181,316634.7061537433,760658.4642350338,391.3658604966136
12,3,0,1907,12,2,2,915,12,25980.32650604196,7483.996743470263,311763.9180725035,760658.4642350338,270.32565698837067
12,4,0,1839,12,2,2,554,12,25512.50912354917,7348.958345066314,306150.10948259005,760658.4642350338,270.32565698837067
12,5,0,2099,12,1,1,1713,12,27257.953765610288,7852.793347652977,327095.44518732344,1083752.377338422,391.3658604966136
12,6,0,1963,12,1,1,1357,12,26359.35986411074,7593.407310850336,316312.31836932886,760658.4642350338,391.3658604966136
12,7,0,1881,12,1,1,417,12,25802.455817150145,7432.653224575221,309629.46980580175,760658.4642350338,391.3658604966136
12,8,0,1941,12,1,1,593,12,26211.107016826518,7550.613090131644,314533.2842019182,760658.4642350338,391.3658604966136
12,9,0,1823,12,1,1,769,12,25401.183476572078,7316.823552308404,304814.20171886496,760658.4642350338,391.3658604966136
12,10,0,1797,12,1,1,1685,12,25219.23215633178,7264.302290811525,302630.7858759813,760658.4642350338,391.3658604966136
12,11,0,1997,12,2,2,1053,12,26586.85331770778,7659.074944786374,319042.2398124934,760658.4642350338,270.32565698837067
12,12,0,1879,12,1,1,1648,12,25788.722686988913,7428.689070091591,309464.67224386695,760658.4642350338,391.3658604966136
12,13,0,1907,12,3,3,85,12,25980.32650604196,7483.996743470263,311763.9180725035,760658.4642350338,220.8723312005291
12,14,0,1995,12,3,3,1138,12,26573.525214703604,7655.227689351117,318882.30257644324,760658.4642350338,220.8723312005291
12,15,0,1967,12,3,3,1542,12,26386.225512811943,7601.162271382181,316634.7061537433,760658.4642350338,220.8723312005291
12,16,0,1947,12,2,2,61,12,26251.622571047126,7562.308185064248,315019.4708525655,760658.4642350338,270.32565698837067
12,17,0,1837,12,3,3,344,12,25498.619974157315,7344.949160627835,305983.4396898878,760658.4642350338,220.8723312005291
12,18,0,1927,12,1,1,704,12,26116.32650845088,7523.2540498208755,313395.91810141056,760658.4642350338,391.3658604966136
12,19,0,1823,12,2,2,1353,12,25401.183476572078,7316.823552308404,304814.20171886496,760658.4642350338,270.32565698837067
13,0,0,3117,13,1,1,237,13,34579.05652317593,9574.26418430492,449527.7348012871,1222129.0617312584,535.2056336348548
13,1,0,3059,13,3,3,24,13,34255.61574938214,9484.56144325368,445323.0047419678,1222129.0617312584,299.99909677792004
13,2,0,2833,13,1,1,2385,13,32965.07256025672,9126.644185226116,428545.94328333734,1222129.0617312584,535.2056336348548
13,3,0,3037,13,3,3,1662,13,34132.130091669875,9450.314072249623,443717.6911917084,1222129.0617312584,299.99909677792004
13,4,0,2903,13,1,1,2595,13,33370.130428100965,9238.982184668608,433811.6955653125,1222129.0617312584,535.2056336348548
13,5,0,2723,13,2,2,337,13,32318.30486956707,8947.27108216,420137.9633043719,1222129.0617312584,368.26683467442604
13,6,0,3301,13,2,2,341,13,35585.70602756648,9853.447769345907,462614.1783583642,1222129.0617312584,368.26683467442604
13,7,0,2997,13,1,1,1644,13,33906.45931711567,9387.726823978759,440783.9711225037,1222129.0617312584,535.2056336348548
13,8,0,2953,13,1,1,2113,13,33656.47501553455,9318.396532854751,437534.1752019491,1222129.0617312584,535.2056336348548
13,9,0,2891,13,5,5,356,13,33301.04160932516,9219.821211207107,432913.54092122713,1222129.0617312584,234.6529451988595
13,10,0,2801,13,1,1,1003,13,32778.237318416745,9074.827685304796,426117.0851394177,1222129.0617312584,535.2056336348548
13,11,0,2877,13,1,1,877,13,33220.256511216736,9197.41641618016,431863.3346458176,1222129.0617312584,535.2056336348548
13,12,0,3047,13,1,1,2559,13,34188.31519082047,9465.89638211237,444448.09748066607,1222129.0617312584,535.2056336348548
13,13,0,2777,13,1,1,2136,13,32637.409495333137,9035.770805023203,424286.3234393308,1222129.0617312584,535.2056336348548
13,14,0,3011,13,1,1,2562,13,33985.61442724896,9409.679598615048,441812.9875542365,1222129.0617312584,535.2056336348548
13,15,0,2949,13,1,1,327,13,33633.65709958888,9312.06824658705,437237.54229465546,1222129.0617312584,535.2056336348548
13,16,0,2881,13,1,1,1085,13,33243.357986309005,9203.823337604197,432163.6538220171,1222129.0617312584,535.2056336348548
13,17,0,3095,13,1,1,2109,13,34456.7292552909,9540.338054130509,447937.4803187817,1222129.0617312584,535.2056336348548
13,18,0,2861,13,1,1,1709,13,33127.68962570343,9171.744086998438,430659.9651341446,1222129.0617312584,535.2056336348548
13,19,0,2993,13,1,1,1391,13,33883.80963094435,9381.445190438428,440489.52520227653,1222129.0617312584,535.2056336348548
14,0,0,4579,14,1,1,2844,14,43499.18049538667,11609.107742046002,608988.5269354134,1941903.5411929623,736.4834675830049
14,1,0,5091,14,2,2,2160,14,45867.92179304737,12242.16418636396,642150.9051026632,1941903.5411929623,504.81125938588195
14,2,0,4697,14,2,2,2313,14,44056.390552875244,11758.024402935385,616789.4677402534,1941903.5411929623,504.81125938588195
14,3,0,4693,14,1,1,136,14,44037.617463837334,11753.007216665832,616526.6444937227,1941903.5411929623,736.4834675830049
14,4,0,4405,14,1,1,739,14,42664.263622501145,11385.972996912267,597299.690715016,1941903.5411929623,736.4834675830049
14,5,0,4707,14,1,1,1044,14,44103.28833313158,11770.558030617447,617446.0366638422,1941903.5411929623,736.4834675830049
14,6,0,4563,14,6,6,462,14,43423.07639591654,11588.768618957016,607923.0695428316,1941903.5411929623,291.1179068100689
14,7,0,4917,14,1,1,3489,14,45076.877865904295,12030.754055901883,631076.2901226601,1941903.5411929623,736.4834675830049
14,8,0,4417,14,1,1,2205,14,42722.36765816633,11401.501516086038,598113.1472143286,1941903.5411929623,736.4834675830049
14,9,0,5095,14,1,1,832,14,45885.94644003383,12246.981358341909,642403.2501604736,1941903.5411929623,736.4834675830049
14,10,0,4639,14,1,1,4507,14,43783.393350144004,11685.064774182832,612967.506902016,1941903.5411929623,736.4834675830049
14,11,0,4363,14,5,5,1167,14,42460.27368841463,11331.455939433969,594443.8316378049,1941903.5411929623,319.16129052772317
14,12,0,4581,14,1,1,2697,14,43508.6841528348,11611.64763241084,609121.5781396872,1941903.5411929623,736.4834675830049
14,13,0,4387,14,1,1,1067,14,42576.95897409472,11362.640507854834,596077.4256373261,1941903.5411929623,736.4834675830049
14,14,0,4419,14,5,5,932,14,42732.04398712466,11404.087551027544,598248.6158197452,1941903.5411929623,319.16129052772317
14,15,0,4205,14,4,4,1460,14,41683.94743878822,11123.980042353433,583575.264143035,1941903.5411929623,354.5764350063729
14,16,0,4003,14,2,2,1376,14,40669.86330104604,10852.96286666985,569378.0862146446,1365945.6830964186,504.81125938588195
14,17,0,4537,14,2,2,597,14,43299.12209461647,11555.641343389167,606187.7093246306,1941903.5411929623,504.81125938588195
14,18,0,4383,14,1,1,244,14,42557.533631886865,11357.44901392348,595805.4708464161,1941903.5411929623,736.4834675830049
14,19,0,4475,14,1,1,407,14,43002.09766865362,11476.260416094157,602029.3673611507,1941903.5411929623,736.4834675830049
15,0,0,7331,15,1,1,4533,15,56978.747134121644,14695.038634631983,854681.2070118247,2153772.9389938936,1018.9831563404214
15,1,0,6405,15,1,1,492,15,53257.24349790274,13734.168045813432,798858.652468541,2153772.9389938936,1018.9831563404214
15,2,0,6391,15,2,2,2817,15,53198.98203164905,13719.125293642734,797984.7304747357,2153772.9389938936,695.9487945820046
15,3,0,6813,15,2,2,3429,15,54928.024294848496,14165.553634223335,823920.3644227274,2153772.9389938936,695.9487945820046
15,4,0,7645,15,3,3,4827,15,58186.68922527461,15006.922736812927,872800.3383791192,2153772.9389938936,563.6848043032306
15,5,0,6719,15,1,1,1576,15,54547.62479536506,14067.336719354771,818214.3719304759,2153772.9389938936,1018.9831563404214
15,6,0,7343,15,2,2,4533,15,57025.380582134254,14707.079134115289,855380.7087320138,2153772.9389938936,695.9487945820046
15,7,0,7555,15,2,2,296,15,57843.04176406422,14918.194802415408,867645.6264609633,2153772.9389938936,695.9487945820046
15,8,0,7143,15,2,2,965,15,56243.11071816952,14505.101407880189,843646.6607725428,2153772.9389938936,695.9487945820046
15,9,0,7859,15,1,1,7694,15,58995.77165119917,15215.823553962085,884936.5747679875,2153772.9389938936,1018.9831563404214
15,10,0,7399,15,2,2,4681,15,57242.50122297499,14763.138492371818,858637.5183446249,2153772.9389938936,695.9487945820046
15,11,0,7239,15,3,3,256,15,56619.94855463278,14602.398828472376,849299.2283194917,2153772.9389938936,563.6848043032306
15,12,0,7125,15,1,1,5062,15,56172.172295285156,14486.785506598038,842582.5844292773,2153772.9389938936,1018.9831563404214
15,13,0,6961,15,1,1,2568,15,55521.67147897372,14318.829897477219,832825.0721846059,2153772.9389938936,1018.9831563404214
15,14,0,7301,15,2,2,4105,15,56861.99626077275,14664.894203512365,852929.9439115913,2153772.9389938936,695.9487945820046
15,15,0,7197,15,2,2,3570,15,56455.39138561654,14559.911085519087,846830.8707842481,2153772.9389938936,695.9487945820046
15,16,0,6445,15,2,2,1114,15,53423.35487603206,13777.056985269306,801350.3231404809,2153772.9389938936,695.9487945820046
15,17,0,6581,15,1,1,3500,15,53984.312074266,13921.892732711873,809764.68111399,2153772.9389938936,1018.9831563404214
15,18,0,6811,15,1,1,3874,15,54919.95811053568,14163.47099258429,823799.3716580352,2153772.9389938936,1018.9831563404214
15,19,0,7287,15,1,1,827,15,56807.4304380101,14650.805609963514,852111.4565701515,2153772.9389938936,1018.9831563404214
16,0,0,11259,16,2,2,3358,16,72934.61408116929,18216.606809435376,1166953.8252987086,3368185.8872370226,964.288510389305
16,1,0,10825,16,1,1,6966,16,71514.65152244986,17861.620204828643,1144234.4243591977,3368185.8872370226,1416.3357787609364
16,2,0,11699,16,1,1,4736,16,74346.53596641857,18569.583421300693,1189544.575462697,3368185.8872370226,1416.3357787609364
16,3,0,11299,16,2,2,10694,16,73064.09773216955,18248.977362035286,1169025.5637147129,3368185.8872370226,964.288510389305
