n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,1079,10,1,1,886,10,17832.684731606554,5624.0936665449035,178326.84731606554,578472.3241572193,216.67124862880527
10,1,0,1145,10,1,1,741,10,18370.662762140786,5794.198822114927,183706.62762140785,578472.3241572193,216.67124862880527
10,2,0,1123,10,2,2,193,10,18193.10218871621,5738.05520284731,181931.0218871621,578472.3241572193,150.9692952005997
10,3,0,1155,10,1,1,837,10,18450.80795064159,5819.540301529614,184508.07950641587,578472.3241572193,216.67124862880527
10,4,0,1143,10,1,1,655,10,18354.591782641153,5789.117267245975,183545.91782641155,578472.3241572193,216.67124862880527
10,5,0,1115,10,1,1,806,10,18128.104061127873,5717.503202600636,181281.04061127873,578472.3241572193,216.67124862880527
10,6,0,1131,10,1,1,1044,10,18257.86921515525,5758.534146006575,182578.6921515525,578472.3241572193,216.67124862880527
10,7,0,1123,10,1,1,807,10,18193.10218871621,5738.05520284731,181931.0218871621,578472.3241572193,216.67124862880527
10,8,0,1167,10,1,1,783,10,18546.5255907354,5849.805736764714,185465.255907354,578472.3241572193,216.67124862880527
10,9,0,1127,10,1,1,114,10,18225.514435582998,5748.303757891021,182255.14435582998,578472.3241572193,216.67124862880527
10,10,0,1133,10,1,1,1017,10,18274.025149995716,5763.642557583497,182740.25149995717,578472.3241572193,216.67124862880527
10,11,0,1165,10,1,1,798,10,18530.606942775627,5844.772338288192,185306.06942775627,578472.3241572193,216.67124862880527
10,12,0,1115,10,1,1,676,10,18128.104061127873,5717.503202600636,181281.04061127873,578472.3241572193,216.67124862880527
10,13,0,1135,10,1,1,187,10,18290.166832023908,5768.74646346272,182901.66832023909,578472.3241572193,216.67124862880527
10,14,0,1151,10,1,1,512,10,18418.79167112726,5809.416922632053,184187.91671127258,578472.3241572193,216.67124862880527
